Time,Thrust (N),Thrust (lbf),N2O Mass Flow Rate (kg/s),N2O Mass (kg),Ethanol Mass Flow Rate (kg/s),Ethanol Mass (kg),TWR,OFR,N2O Pressure (psi),Ethanol Pressure (psi),Nitrous Phase
4.23,1818.0445,408.733,0.84678,2.4271,0.2645,0.35619,4.1185,3.2014,735.9563,654.6786,liquid
4.24,1817.0943,408.5194,0.84655,2.4186,0.26439,0.35354,4.1173,3.2019,735.5875,654.2991,liquid
4.25,1816.1442,408.3058,0.84632,2.4101,0.26427,0.3509,4.1162,3.2025,735.2188,653.9203,liquid
4.26,1815.1943,408.0922,0.8461,2.4017,0.26415,0.34826,4.1151,3.2031,734.8502,653.542,liquid
4.27,1814.2445,407.8787,0.84587,2.3932,0.26403,0.34562,4.1139,3.2036,734.4817,653.1644,liquid
4.28,1813.2949,407.6652,0.84564,2.3848,0.26392,0.34298,4.1128,3.2042,734.1133,652.7874,liquid
4.29,1812.3454,407.4518,0.84542,2.3763,0.2638,0.34034,4.1116,3.2048,733.745,652.4109,liquid
4.3,1811.3962,407.2383,0.84519,2.3679,0.26368,0.3377,4.1105,3.2053,733.3768,652.0351,liquid
4.31,1810.447,407.025,0.84496,2.3594,0.26357,0.33507,4.1094,3.2059,733.0087,651.6598,liquid
4.32,1809.4981,406.8116,0.84474,2.351,0.26345,0.33243,4.1082,3.2064,732.6407,651.2852,liquid
4.33,1808.5493,406.5983,0.84451,2.3425,0.26334,0.3298,4.1071,3.207,732.2728,650.9112,liquid
4.34,1807.6007,406.385,0.84428,2.3341,0.26322,0.32717,4.1059,3.2075,731.905,650.5377,liquid
4.35,1806.6522,406.1718,0.84406,2.3256,0.26311,0.32454,4.1048,3.2081,731.5373,650.1649,liquid
4.36,1805.7039,405.9586,0.84383,2.3172,0.26299,0.32191,4.1036,3.2086,731.1697,649.7926,liquid
4.37,1804.7558,405.7455,0.8436,2.3088,0.26287,0.31928,4.1025,3.2091,730.8022,649.4209,liquid
4.38,1803.8078,405.5323,0.84338,2.3003,0.26276,0.31665,4.1014,3.2097,730.4348,649.0498,liquid
4.39,1802.86,405.3192,0.84315,2.2919,0.26264,0.31402,4.1002,3.2102,730.0675,648.6793,liquid
4.4,1801.9124,405.1062,0.84292,2.2835,0.26253,0.3114,4.0991,3.2108,729.7003,648.3094,liquid
4.41,1800.9649,404.8932,0.84269,2.275,0.26241,0.30877,4.0979,3.2113,729.3332,647.94,liquid
4.42,1800.0176,404.6802,0.84246,2.2666,0.2623,0.30615,4.0968,3.2118,728.9662,647.5713,liquid
4.43,1799.0705,404.4673,0.84224,2.2582,0.26219,0.30353,4.0956,3.2124,728.5992,647.2031,liquid
4.44,1798.1235,404.2544,0.84201,2.2498,0.26207,0.30091,4.0945,3.2129,728.2324,646.8355,liquid
4.45,1797.1767,404.0415,0.84178,2.2414,0.26196,0.29829,4.0933,3.2134,727.8657,646.4685,liquid
4.46,1796.2301,403.8287,0.84155,2.2329,0.26184,0.29567,4.0922,3.2139,727.4991,646.102,liquid
4.47,1795.2836,403.6159,0.84132,2.2245,0.26173,0.29305,4.091,3.2145,727.1326,645.7362,liquid
4.48,1794.3374,403.4032,0.8411,2.2161,0.26162,0.29044,4.0899,3.215,726.7662,645.3709,liquid
4.49,1793.3912,403.1905,0.84087,2.2077,0.2615,0.28782,4.0887,3.2155,726.3999,645.0061,liquid
4.5,1792.4453,402.9778,0.84064,2.1993,0.26139,0.28521,4.0876,3.216,726.0337,644.642,liquid
4.51,1791.4995,402.7652,0.84041,2.1909,0.26128,0.2826,4.0864,3.2165,725.6675,644.2784,liquid
4.52,1790.5539,402.5526,0.84018,2.1825,0.26116,0.27998,4.0853,3.2171,725.3015,643.9154,liquid
4.53,1789.6084,402.34,0.83995,2.1741,0.26105,0.27737,4.0841,3.2176,724.9356,643.5529,liquid
4.54,1788.6632,402.1275,0.83972,2.1657,0.26094,0.27476,4.083,3.2181,724.5698,643.191,liquid
4.55,1787.7181,401.915,0.83949,2.1573,0.26083,0.27216,4.0818,3.2186,724.2041,642.8297,liquid
4.56,1786.7732,401.7026,0.83926,2.1489,0.26071,0.26955,4.0807,3.2191,723.8385,642.4689,liquid
4.57,1785.8284,401.4902,0.83904,2.1405,0.2606,0.26694,4.0795,3.2196,723.4729,642.1087,liquid
4.58,1784.8838,401.2778,0.83881,2.1321,0.26049,0.26434,4.0784,3.2201,723.1075,641.749,liquid
4.59,1783.9394,401.0655,0.83858,2.1238,0.26038,0.26173,4.0772,3.2206,722.7422,641.3899,liquid
4.6,1782.9952,400.8532,0.83835,2.1154,0.26027,0.25913,4.0761,3.2211,722.377,641.0314,liquid
4.61,1782.0511,400.641,0.83812,2.107,0.26016,0.25653,4.0749,3.2216,722.0119,640.6734,liquid
4.62,1781.1072,400.4288,0.83789,2.0986,0.26004,0.25393,4.0738,3.2221,721.6469,640.316,liquid
4.63,1780.1635,400.2166,0.83766,2.0902,0.25993,0.25133,4.0726,3.2226,721.282,639.9591,liquid
4.64,1779.2199,400.0045,0.83743,2.0819,0.25982,0.24873,4.0714,3.2231,720.9171,639.6028,liquid
4.65,1778.2766,399.7924,0.8372,2.0735,0.25971,0.24613,4.0703,3.2236,720.5524,639.247,liquid
4.66,1777.3334,399.5803,0.83697,2.0651,0.2596,0.24354,4.0691,3.2241,720.1878,638.8917,liquid
4.67,1776.3903,399.3683,0.83674,2.0567,0.25949,0.24094,4.068,3.2245,719.8233,638.537,liquid
4.68,1775.4475,399.1564,0.83651,2.0484,0.25938,0.23835,4.0668,3.225,719.4589,638.1829,liquid
4.69,1774.5048,398.9444,0.83628,2.04,0.25927,0.23576,4.0656,3.2255,719.0946,637.8293,liquid
4.7,1773.5623,398.7325,0.83604,2.0317,0.25916,0.23317,4.0645,3.226,718.7303,637.4762,liquid
4.71,1772.6199,398.5207,0.83581,2.0233,0.25905,0.23057,4.0633,3.2265,718.3662,637.1237,liquid
4.72,1771.6778,398.3089,0.83558,2.0149,0.25894,0.22799,4.0622,3.2269,718.0022,636.7717,liquid
4.73,1770.7358,398.0971,0.83535,2.0066,0.25883,0.2254,4.061,3.2274,717.6383,636.4202,liquid
4.74,1769.794,397.8853,0.83512,1.9982,0.25872,0.22281,4.0598,3.2279,717.2745,636.0693,liquid
4.75,1768.8524,397.6736,0.83489,1.9899,0.25861,0.22022,4.0587,3.2283,716.9108,635.719,liquid
4.76,1767.9109,397.462,0.83466,1.9815,0.2585,0.21764,4.0575,3.2288,716.5472,635.3691,liquid
4.77,1766.9696,397.2504,0.83443,1.9732,0.25839,0.21505,4.0564,3.2293,716.1837,635.0198,liquid
4.78,1766.0285,397.0388,0.8342,1.9649,0.25829,0.21247,4.0552,3.2297,715.8203,634.671,liquid
4.79,1765.0876,396.8272,0.83397,1.9565,0.25818,0.20989,4.054,3.2302,715.457,634.3228,liquid
4.8,1764.1468,396.6157,0.83373,1.9482,0.25807,0.20731,4.0529,3.2307,715.0938,633.975,liquid
4.81,1763.2063,396.4043,0.8335,1.9398,0.25796,0.20473,4.0517,3.2311,714.7306,633.6278,liquid
4.82,1762.2659,396.1929,0.83327,1.9315,0.25785,0.20215,4.0505,3.2316,714.3676,633.2812,liquid
4.83,1761.3256,395.9815,0.83304,1.9232,0.25774,0.19957,4.0494,3.232,714.0047,632.935,liquid
4.84,1760.3856,395.7701,0.83281,1.9149,0.25764,0.197,4.0482,3.2325,713.6419,632.5894,liquid
4.85,1759.4457,395.5588,0.83257,1.9065,0.25753,0.19442,4.047,3.2329,713.2792,632.2443,liquid
4.86,1758.506,395.3476,0.83234,1.8982,0.25742,0.19185,4.0459,3.2334,712.9166,631.8997,liquid
4.87,1757.5665,395.1364,0.83211,1.8899,0.25731,0.18927,4.0447,3.2338,712.5541,631.5556,liquid
4.88,1756.6272,394.9252,0.83188,1.8816,0.25721,0.1867,4.0435,3.2343,712.1917,631.2121,liquid
4.89,1755.688,394.714,0.83164,1.8733,0.2571,0.18413,4.0424,3.2347,711.8294,630.869,liquid
4.9,1754.749,394.5029,0.83141,1.8649,0.25699,0.18156,4.0412,3.2351,711.4672,630.5265,liquid
4.91,1753.8102,394.2919,0.83118,1.8566,0.25689,0.17899,4.04,3.2356,711.1052,630.1845,liquid
4.92,1752.8716,394.0808,0.83095,1.8483,0.25678,0.17643,4.0388,3.236,710.7432,629.843,liquid
4.93,1751.9331,393.8699,0.83071,1.84,0.25667,0.17386,4.0377,3.2364,710.3813,629.502,liquid
4.94,1750.9949,393.6589,0.83048,1.8317,0.25657,0.17129,4.0365,3.2369,710.0195,629.1615,liquid
4.95,1750.0568,393.448,0.83025,1.8234,0.25646,0.16873,4.0353,3.2373,709.6578,628.8216,liquid
4.96,1749.1188,393.2371,0.83002,1.8151,0.25636,0.16616,4.0342,3.2377,709.2962,628.4821,liquid
4.97,1748.1811,393.0263,0.82978,1.8068,0.25625,0.1636,4.033,3.2382,708.9347,628.1432,liquid
4.98,1747.2435,392.8155,0.82955,1.7985,0.25615,0.16104,4.0318,3.2386,708.5733,627.8047,liquid
4.99,1746.3062,392.6048,0.82932,1.7902,0.25604,0.15848,4.0306,3.239,708.2121,627.4668,liquid
5,1745.369,392.3941,0.82908,1.7819,0.25594,0.15592,4.0295,3.2394,707.8509,627.1293,liquid
5.01,1744.4319,392.1834,0.82885,1.7736,0.25583,0.15336,4.0283,3.2398,707.4898,626.7924,liquid
5.02,1743.4951,391.9728,0.82861,1.7653,0.25573,0.15081,4.0271,3.2402,707.1288,626.456,liquid
5.03,1742.5584,391.7622,0.82838,1.7571,0.25562,0.14825,4.0259,3.2407,706.7679,626.12,liquid
5.04,1741.6219,391.5517,0.82815,1.7488,0.25552,0.14569,4.0248,3.2411,706.4072,625.7846,liquid
5.05,1740.6856,391.3412,0.82791,1.7405,0.25541,0.14314,4.0236,3.2415,706.0465,625.4496,liquid
5.06,1739.7495,391.1307,0.82768,1.7322,0.25531,0.14059,4.0224,3.2419,705.6859,625.1152,liquid
5.07,1738.8135,390.9203,0.82744,1.724,0.2552,0.13803,4.0212,3.2423,705.3255,624.7812,liquid
5.08,1737.8777,390.7099,0.82721,1.7157,0.2551,0.13548,4.0201,3.2427,704.9651,624.4477,liquid
5.09,1736.9421,390.4996,0.82698,1.7074,0.255,0.13293,4.0189,3.2431,704.6048,624.1148,liquid
5.1,1736.0067,390.2893,0.82674,1.6991,0.25489,0.13038,4.0177,3.2435,704.2447,623.7823,liquid
5.11,1735.0715,390.079,0.82651,1.6909,0.25479,0.12784,4.0165,3.2439,703.8846,623.4503,liquid
5.12,1734.1364,389.8688,0.82627,1.6826,0.25469,0.12529,4.0153,3.2443,703.5247,623.1188,liquid
5.13,1733.2016,389.6586,0.82604,1.6744,0.25458,0.12274,4.0142,3.2447,703.1648,622.7878,liquid
5.14,1732.2669,389.4485,0.8258,1.6661,0.25448,0.1202,4.013,3.2451,702.8051,622.4572,liquid
5.15,1731.3323,389.2384,0.82557,1.6578,0.25438,0.11766,4.0118,3.2455,702.4454,622.1272,liquid
5.16,1730.398,389.0283,0.82533,1.6496,0.25427,0.11511,4.0106,3.2458,702.0859,621.7976,liquid
5.17,1729.4638,388.8183,0.8251,1.6413,0.25417,0.11257,4.0094,3.2462,701.7264,621.4685,liquid
5.18,1728.5299,388.6083,0.82486,1.6331,0.25407,0.11003,4.0082,3.2466,701.3671,621.1399,liquid
5.19,1727.5961,388.3984,0.82463,1.6248,0.25397,0.10749,4.0071,3.247,701.0078,620.8118,liquid
5.2,1726.6624,388.1885,0.82439,1.6166,0.25387,0.10495,4.0059,3.2474,700.6487,620.4841,liquid
5.21,1725.729,387.9786,0.82416,1.6084,0.25376,0.10241,4.0047,3.2477,700.2897,620.1569,liquid
5.22,1724.7957,387.7688,0.82392,1.6001,0.25366,0.099878,4.0035,3.2481,699.9307,619.8302,liquid
5.23,1723.8626,387.559,0.82368,1.5919,0.25356,0.097342,4.0023,3.2485,699.5719,619.504,liquid
5.24,1722.9297,387.3493,0.82345,1.5836,0.25346,0.094808,4.0011,3.2488,699.2132,619.1782,liquid
5.25,1721.997,387.1396,0.82321,1.5754,0.25336,0.092274,4,3.2492,698.8546,618.853,liquid
5.26,1721.0645,386.93,0.82298,1.5672,0.25326,0.089742,3.9988,3.2496,698.496,618.5282,liquid
5.27,1720.1321,386.7203,0.82274,1.559,0.25316,0.08721,3.9976,3.2499,698.1376,618.2038,liquid
5.28,1726.645,388.1846,0.82251,1.5507,0.25305,0.08468,4.0137,3.2503,697.7793,617.88,liquid
5.29,1732.9433,389.6006,0.82218,1.5425,0.25286,0.082151,4.0293,3.2515,697.4211,617.5567,liquid
5.3,1731.5974,389.298,0.82187,1.5343,0.25268,0.079624,4.0272,3.2526,697.0631,617.234,liquid
5.31,1730.2678,388.9991,0.82155,1.5261,0.25249,0.077099,4.0251,3.2538,696.7052,616.9118,liquid
5.32,1728.9397,388.7005,0.82123,1.5179,0.25231,0.074576,4.023,3.2549,696.3474,616.5903,liquid
5.33,1727.6125,388.4021,0.82092,1.5097,0.25212,0.072055,4.0209,3.2561,695.9898,616.2693,liquid
5.34,1726.2855,388.1038,0.8206,1.5014,0.25193,0.069536,4.0188,3.2572,695.6323,615.9488,liquid
5.35,1724.9584,387.8054,0.82028,1.4932,0.25175,0.067018,4.0167,3.2583,695.275,615.629,liquid
5.36,1723.8177,387.549,0.82004,1.485,0.25165,0.064502,4.015,3.2587,694.9178,615.3096,liquid
5.37,1722.8842,387.3391,0.81981,1.4768,0.25155,0.061986,4.0138,3.259,694.5606,614.9907,liquid
5.38,1721.9564,387.1305,0.81957,1.4687,0.25145,0.059472,4.0126,3.2594,694.2036,614.6722,liquid
5.39,1721.0216,386.9203,0.81933,1.4605,0.25135,0.056958,4.0114,3.2597,693.8466,614.3542,liquid
5.4,1720.0894,386.7108,0.8191,1.4523,0.25125,0.054446,4.0102,3.2601,693.4898,614.0366,liquid
5.41,1719.1551,386.5007,0.81886,1.4441,0.25115,0.051934,4.009,3.2604,693.1331,613.7195,liquid
5.42,1718.2219,386.2909,0.81862,1.4359,0.25106,0.049424,4.0078,3.2607,692.7765,613.4028,liquid
5.43,1717.2882,386.081,0.81838,1.4277,0.25096,0.046914,4.0066,3.261,692.4199,613.0866,liquid
5.44,1716.355,385.8712,0.81815,1.4195,0.25086,0.044405,4.0054,3.2614,692.0635,612.7708,liquid
5.45,1715.4217,385.6613,0.81791,1.4113,0.25076,0.041898,4.0042,3.2617,691.7072,612.4555,liquid
5.46,1714.4887,385.4516,0.81767,1.4032,0.25066,0.039391,4.003,3.262,691.351,612.1406,liquid
5.47,1713.5558,385.2419,0.81743,1.395,0.25057,0.036885,4.0018,3.2623,690.9949,611.8262,liquid
5.48,1712.6231,385.0322,0.8172,1.3868,0.25047,0.034381,4.0006,3.2627,690.6389,611.5122,liquid
5.49,1711.6906,384.8225,0.81696,1.3787,0.25037,0.031877,3.9994,3.263,690.283,611.1987,liquid
5.5,1710.7583,384.6129,0.81672,1.3705,0.25028,0.029374,3.9982,3.2633,689.9272,610.8856,liquid
5.51,1709.8262,384.4034,0.81648,1.3623,0.25018,0.026873,3.997,3.2636,689.5715,610.5729,liquid
5.52,1708.8942,384.1938,0.81624,1.3542,0.25008,0.024372,3.9958,3.2639,689.2159,610.2607,liquid
5.53,1707.9625,383.9844,0.816,1.346,0.24999,0.021872,3.9946,3.2642,688.8604,609.9489,liquid
5.54,1707.0309,383.7749,0.81577,1.3378,0.24989,0.019373,3.9934,3.2645,688.5051,609.6376,liquid
5.55,1706.0995,383.5655,0.81553,1.3297,0.24979,0.016875,3.9922,3.2648,688.1498,609.3267,liquid
5.56,1705.1682,383.3562,0.81529,1.3215,0.2497,0.014378,3.991,3.2651,687.7946,609.0162,liquid
5.57,1704.2372,383.1468,0.81505,1.3134,0.2496,0.011882,3.9898,3.2654,687.4396,608.7062,liquid
5.58,1703.3063,382.9376,0.81481,1.3052,0.24951,0.009387,3.9886,3.2657,687.0846,608.3966,liquid
5.59,1702.3756,382.7283,0.81457,1.2971,0.24941,0.0068929,3.9874,3.266,686.7297,608.0874,liquid
5.6,1701.4451,382.5191,0.81433,1.2889,0.24931,0.0043997,3.9862,3.2663,686.375,607.7787,liquid
5.61,1044.8609,234.9058,0.38541,1.2851,0.24922,0.0019075,2.4483,1.5465,680.9059,607.4704,vapor
5.62,0,0,0.45179,1.2806,0.36211,0,0,0,675.4804,0,vapor
